type,ward,name,max_patient
isolation_room,0,ISO1,1
isolation_room,0,ISO2,1
isolation_room,0,ISO3,1
isolation_room,0,ISO4,1
isolation_room,0,ISO5,1
isolation_room,0,ISO6,1
isolation_room,0,ISO7,1
isolation_room,0,ISO8,1
isolation_room,0,ISO9,1
isolation_room,0,ISO10,1
isolation_room,0,ISO11,1
isolation_room,0,ISO12,1
isolation_room,0,ISO13,1
isolation_room,0,ISO14,1
isolation_room,0,ISO15,1
isolation_room,0,ISO16,1
isolation_room,0,ISO17,1
isolation_room,0,ISO18,1
isolation_room,0,ISO19,1
isolation_room,0,ISO20,1
patient_room,1,1_A,6
patient_room,1,1_B,4
patient_room,1,1_C,7
patient_room,1,1_D,6
patient_room,1,1_E,8
patient_room,1,1_F,7
patient_room,1,1_G,6
patient_room,1,1_H,2
patient_room,1,1_I,3
patient_room,2,2_A,5
patient_room,2,2_B,2
patient_room,2,2_C,2
patient_room,2,2_D,2
patient_room,2,2_E,2
patient_room,2,2_F,4
patient_room,2,2_G,5
patient_room,2,2_H,6
patient_room,2,2_I,6
patient_room,3,3_A,6
patient_room,3,3_B,2
patient_room,3,3_C,4
patient_room,3,3_D,6
patient_room,3,3_E,2
patient_room,3,3_F,2
patient_room,4,4_A,6
patient_room,4,4_B,2
patient_room,4,4_C,8
patient_room,4,4_D,6
patient_room,4,4_E,5
patient_room,4,4_F,4
patient_room,5,5_A,2
patient_room,5,5_B,5
patient_room,5,5_C,7
patient_room,5,5_D,3
patient_room,5,5_E,4
patient_room,5,5_F,4
patient_room,6,6_A,4
patient_room,6,6_B,5
patient_room,6,6_C,5
patient_room,6,6_D,3
patient_room,6,6_E,3
patient_room,7,7_A,5
patient_room,7,7_B,4
patient_room,7,7_C,6
patient_room,7,7_D,5
patient_room,7,7_E,8
patient_room,7,7_F,6
patient_room,7,7_G,6
patient_room,8,8_A,3
patient_room,8,8_B,2
patient_room,8,8_C,2
patient_room,8,8_D,2
patient_room,9,9_A,4
patient_room,9,9_B,2
patient_room,9,9_C,2
patient_room,9,9_D,4
patient_room,9,9_E,2
patient_room,9,9_F,3
patient_room,9,9_G,2
patient_room,9,9_H,2
patient_room,9,9_I,2
patient_room,9,9_J,5
patient_room,9,9_K,7
patient_room,9,9_L,3
patient_room,9,9_M,6
patient_room,9,9_N,2
patient_room,10,10_A,6
patient_room,10,10_B,2
patient_room,10,10_C,2
patient_room,10,10_D,4
